id,userName,name,password,email,phone,address,birth,status,role,createdAt,updatedAt
34,TTBH9,TTBH9,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,hoanghuy7345@gmail.com,,Cà Mau,,2,4,2022-11-26,2022-11-26
35,DL1,DL1,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hà Tĩnh,,2,3,2022-11-26,2022-11-26
36,DL2,DL2,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hồ Chí Minh,,2,3,2022-11-26,2022-11-26
37,DL3,DL3,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Đà Nẵng,,2,3,2022-11-26,2022-11-26
38,DL4,DL4,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hải Phòng,,2,3,2022-11-26,2022-11-26
39,DL5,DL5,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Bắc Giang,,2,3,2022-11-26,2022-11-26
40,DL6,DL6,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Cà Mau,,2,3,2022-11-26,2022-11-26
41,DL7,DL7,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Thái Bình,,2,3,2022-11-26,2022-11-26
42,DL8,DL8,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Nghệ An,,2,3,2022-11-26,2022-11-26
43,DL9,DL9,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hà Tĩnh,,2,3,2022-11-26,2022-11-26
44,DL10,DL10,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hồ Chí Minh,,2,3,2022-11-26,2022-11-26
45,DL11,DL11,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Đà Nẵng,,2,3,2022-11-26,2022-11-26
46,DL12,DL12,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hải Phòng,,2,3,2022-11-26,2022-11-26
47,DL13,DL13,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Bắc Giang,,2,3,2022-11-26,2022-11-26
48,DL14,DL14,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Cà Mau,,2,3,2022-11-26,2022-11-26
49,DL15,DL15,$2b$10$8xKs/rcH4zZy/yOHYbABPOIFaytrAYkGYGlYPCf/Rr2fuXea2EWFe,tranthanhtam.lovemeow@gmail.com,,Hà Tĩnh,,2,3,2022-11-26,2022-11-26
